epoch,loss,val_micro_f1,test_micro_f1
1,0.5311889310488482,0.5892576130198054,0.5986871042432592
2,0.45609358583681464,0.6441058495298395,0.659851047949049
3,0.4229737351488941,0.6810510633152255,0.6979292256276837
4,0.4041753367093264,0.6996566901408451,0.7183357201309329
5,0.3940403063525677,0.7103119346527055,0.7294820139123972
6,0.3843047919517285,0.7055450511653539,0.7280361828021912
7,0.37767584013396294,0.7163354715023255,0.7370999020911496
8,0.37322264569817537,0.7338422323942723,0.7530166165401897
9,0.3696232204319815,0.7297164325968334,0.7506515080724705
10,0.3665148636304376,0.7347172274953437,0.7557563362941709
